"id_cliente";"id_solicitacao_emp";"id_historico_emp";"idade_cliente";"salario_anual";"propriedade";"anos_trabalhados";"motivo_emp";"pontuacao_emp";"valor_emp_solicitado";"taxa_juros";"possibilidade_inadimplencia";"percentual_emp_salario";"inadimplencia_anterior";"anos_primeira_solc_emp"
"75vberrk-0h2s";"000asytg-qpl2";"12mpifxg-wqdp";32;22704;"Alugada";4.0;"Pag. de débitos";"B";6800;0.0;0;0.3;"n";8
"eanek35x-mce1";"0073mlaa-cemf";"nf9dpwz4-xpto";34;222000;"Hipoteca";0.0;"Médico";"A";13000;8.49;0;0.06;"n";7
"xmy2bpi5-zpbf";"008c2fiu-sc1z";"dbh91gky-d4fl";35;48000;"Própria";6.0;"Melhora do lar";"C";4200;13.61;0;0.09;"n";7
"z2qddqw6-cqk7";"00ck4yf2-seqx";"enxnv2dg-5quc";40;52000;"Alugada";2.0;"Educativo";"F";15000;18.62;1;0.29;"y";17
"jmeqislp-8wmt";"00crs4fj-uet5";"ixuhltby-i4h2";22;24000;"Própria";3.0;"Educativo";"B";6000;11.49;0;0.25;"n";4
"wure6quf-46jj";"00fqog9h-zdpp";"gn5txatz-cdq9";23;57600;"Hipoteca";7.0;"Pessoal";"A";5000;5.79;0;0.09;"n";3
"zuz3x1c8-poor";"00gole4c-6zxq";"zqoefcwt-7k5h";28;51996;"Alugada";11.0;"Melhora do lar";"A";9600;9.07;0;0.18;"n";7
"7hy6dcci-cbix";"00j455yg-vfty";"dmqzqscd-1fjj";29;260000;"Hipoteca";0.0;"Melhora do lar";"B";20000;10.37;0;0.08;"n";6
"2w34c6qu-8uez";"00m2orro-swvz";"5r6stxx0-dnbt";25;75000;"Hipoteca";8.0;"Pag. de débitos";"A";15000;9.63;0;0.2;"n";3
"ligcug5i-rs1t";"00mqyeeo-curx";"7yrcmpfx-cq1j";25;69000;"Alugada";3.0;"Pag. de débitos";"D";10000;14.09;1;0.14;"y";2
"gpszdwjm-xgsw";"00thn2jd-kk8i";"yqut7hqe-ueqh";25;87999;"Alugada";5.0;"Pessoal";"C";2400;14.79;1;0.03;"y";4
"ncwvk1op-coug";"00wrw12p-7g2y";"wofo5cly-64k1";22;42000;"Alugada";0.0;"Pessoal";"A";3600;7.37;0;0.09;"n";3
"7uq48wu7-gtb0";"00xu8mcl-e2dc";"dy9fzw5g-0lqh";29;70000;"Hipoteca";7.0;"Médico";"B";4000;11.86;0;0.06;"n";6
"diu49uz1-assq";"00yx3mvq-bqb2";"v6fj3mwr-gdmt";24;54996;"Própria";0.0;"Empreendimento";"B";12000;11.26;0;0.22;"n";3
"u6533fhu-cipt";"015acpl4-ri2b";"j5o5pwjd-gu2c";26;80000;"Alugada";0.0;"Educativo";"C";9000;10.91;0;0.11;"y";3
"77rir9iv-99oi";"01e4fh6t-qmrt";"zd1joffk-bltx";25;70000;"Alugada";6.0;"Pessoal";"B";15000;11.89;0;0.21;"n";2
"o5wco8bj-roys";"01fihhmh-j1pz";"guy1pnbe-zn1y";23;90000;"Hipoteca";6.0;"Pessoal";"B";15000;9.99;1;0.17;"n";3
"cwoi8o7a-wifm";"01meqg1l-zkmm";"fnnrdes9-zga9";33;40000;"Alugada";0.0;"Pag. de débitos";"";14000;13.22;0;0.29;"y";14
"bb570jqz-wgoe";"01w5k9xu-1aj0";"hwerrnhq-j4me";42;82500;"Alugada";3.0;"Pag. de débitos";"A";2575;6.76;0;0.03;"n";11
"tgr94a7i-mof1";"01yazo3z-ziwp";"gi0uxcxq-w6hv";25;69996;"Alugada";9.0;"Educativo";"D";25000;15.21;1;0.36;"n";3
"mb59rwqz-ywlu";"02b5rbqg-mjhr";"wm9fyst7-wu97";25;45000;"Hipoteca";0.0;"Empreendimento";"B";7500;10.39;0;0.17;"n";3
"npts8lky-czul";"02c2dsrr-ydhl";"opctqkam-b1ha";28;69996;"Alugada";8.0;"Pag. de débitos";"A";3500;6.62;0;0.05;"n";9
"c260gxsy-1pt1";"02c30g1w-jhkl";"ddfup7x6-br8o";41;58000;"Alugada";16.0;"Pessoal";"C";5000;0.0;0;0.08;"";2
"clnfvomw-e4cg";"02d1cadv-tnms";"r3rgstoh-l65w";0;64500;"Hipoteca";5.0;"Educativo";"A";0;10.99;1;0.16;"n";4
"hle7zrcm-lajj";"02fc3ttw-nswx";"pjnjsm82-isaa";29;72000;"Alugada";13.0;"Médico";"C";15900;13.04;0;0.22;"n";9
"abwhlthk-ygr4";"02i2ucor-c01k";"8tcd8ymz-zoqb";26;155142;"Hipoteca";6.0;"Pessoal";"D";23000;18.25;0;0.15;"n";2
"lltrfodv-i0et";"02l9impf-eshb";"lsem09h9-xw0m";26;20004;"Alugada";2.0;"Educativo";"A";2000;8.59;1;0.1;"n";3
"zq61blgg-eewh";"02ou28fe-rfcr";"ahyrmdih-lk0d";26;107496;"Hipoteca";9.0;"Pag. de débitos";"B";20000;12.69;0;0.19;"n";4
"jnzaxxyy-q7d8";"02sawntd-atov";"7e55rzny-ekfb";24;150000;"Hipoteca";5.0;"Pag. de débitos";"B";20000;10.51;0;0.13;"n";4
"us3yqo7f-lmmn";"02squcrs-n2bp";"7lyenzg1-hbl0";26;72600;"Hipoteca";3.0;"Médico";"A";4500;7.74;0;0.06;"n";2
"z8pfojyr-ifsn";"02yfiqcn-1kxz";"7gyxiox1-eebd";43;25000;"Hipoteca";10.0;"Educativo";"B";10000;9.62;0;0.4;"n";17
"ckk4qyy8-wkfs";"038d55xc-25rp";"sl7idhdb-yu97";22;52500;"Hipoteca";6.0;"Pag. de débitos";"C";8000;15.23;0;0.15;"n";3
"zask4t3g-kfbf";"03ixinfq-6r8l";"lx3649lq-c5lf";30;12000;"Alugada";0.0;"Médico";"C";1800;14.35;0;0.15;"y";5
"cu5dwotr-95q6";"03jr9l5e-ehyz";"exgwjfwx-2h3h";23;120000;"Hipoteca";7.0;"Empreendimento";"C";6000;13.06;0;0.05;"n";4
"l7gg9rlz-prmn";"03qbmqz8-woso";"qqfsqrki-o7ck";22;56000;"Alugada";5.0;"Educativo";"C";14000;14.35;0;0.25;"y";4
"91cfjfhp-4kh1";"042wo4x1-90hr";"2vbgk7jw-std1";33;102996;"Hipoteca";4.0;"Pag. de débitos";"A";6000;0.0;0;0.06;"n";8
"gdirzbwi-a7hy";"043f3pfb-flia";"aefxpcbx-5lft";29;50000;"Alugada";2.0;"Pag. de débitos";"B";10000;11.26;0;0.2;"n";6
"aogipyxs-hu75";"043zq7qb-qprp";"6eomuf64-s1id";24;0;"Hipoteca";8.0;"Empreendimento";"";12800;14.74;0;0.17;"y";6
"qmfht3si-9kcn";"045rebeb-gpea";"cuyur7yl-5kny";27;51000;"Alugada";9.0;"Pessoal";"B";1600;10.59;0;0.03;"n";8
"4nduuth8-3d3o";"047e829o-ujl5";"h5gtfqdr-otgk";23;33500;"Alugada";2.0;"Educativo";"E";2500;15.68;1;0.07;"y";4
"rs6efwrb-2cmq";"04cyytdc-m33a";"fvauosgq-i9cm";25;102000;"Hipoteca";7.0;"Melhora do lar";"G";25000;20.16;1;0.25;"y";4
"z6lkgeum-0jma";"04ean7in-yxrd";"cr4snuee-g32t";21;33996;"Alugada";1.0;"Pessoal";"C";6000;12.53;0;0.18;"y";3
"24avehoa-7daz";"04f4xosc-pblx";"cel8nodb-cw9f";27;100000;"Hipoteca";1.0;"Pag. de débitos";"C";16000;13.43;0;0.16;"n";5
"83rhbgwk-x5qr";"04fgwnhu-pgpq";"ixnfnxmy-25w9";28;159000;"Hipoteca";3.0;"Pessoal";"B";15000;11.86;0;0.09;"n";8
"5wnwzoph-wbho";"04hmuwdu-ddnw";"uveij9re-kuwq";23;30000;"Alugada";1.0;"Educativo";"A";8400;0.0;1;0.28;"n";3
"mex7tbkf-izpp";"04htfaon-igyy";"f1ia8619-mjzx";23;75000;"Alugada";1.0;"Empreendimento";"B";6000;12.42;0;0.08;"n";3
"nvtlxtjo-btfc";"04i4psrd-zoao";"elc7rsqd-xget";33;170004;"Hipoteca";17.0;"Pessoal";"A";12000;7.51;0;0.07;"n";9
"mecro5sz-9apn";"04k3r7x3-skcm";"1iaevyxo-gm3k";29;58800;"Hipoteca";0.0;"Empreendimento";"B";11400;10.99;0;0.19;"n";9
"2h7gdbkh-ly8e";"04uhk9xw-qwie";"ydoqney5-dmua";23;98000;"Hipoteca";7.0;"Empreendimento";"A";10000;0.0;0;0.1;"n";4
"ol2conrz-w7ru";"04w8pbii-xhyt";"gqyxnr4e-urrr";42;51000;"Própria";6.0;"Empreendimento";"B";18000;9.91;0;0.35;"n";13
"dq7oiswo-9r1l";"04z2s1ys-wwjn";"iuel1mih-rtot";30;54000;"Alugada";2.0;"Melhora do lar";"E";5000;15.13;1;0.09;"n";7
"ux8td8x0-tbjm";"04zoorkv-xywn";"gynbeakd-izbc";36;106000;"Hipoteca";15.0;"Melhora do lar";"A";4025;7.49;0;0.04;"n";14
"lcp93jfr-hqcl";"057trl54-uqne";"f6ugeelt-aay0";26;65000;"Hipoteca";11.0;"Melhora do lar";"A";10950;7.88;0;0.17;"n";2
"jo5xfthm-lrlb";"05aro8ju-aqfb";"s5dzuthf-sorl";25;46500;"Alugada";1.0;"Educativo";"B";6000;8.88;0;0.13;"n";2
"1yror7en-rqqn";"05ekgy9o-a5jg";"pk9iv2r9-xufw";33;56136;"Alugada";12.0;"Empreendimento";"E";19000;15.68;1;0.34;"y";5
"vzqnjq83-mmoc";"05gyexws-axhb";"6fwy7i7f-jdgh";29;44720;"Alugada";6.0;"Educativo";"B";7500;0.0;0;0.17;"n";5
"tdzmoayh-ai9b";"05jkgnj0-ghhw";"76oaqap3-h78o";42;36000;"Alugada";7.0;"Médico";"D";8400;16.32;1;0.23;"y";15
